"Name","Label","Variant Of","Weight","AES"
"Outlaw_Oasis_P","Deadeye Canyon (Oasis)","outlaw_p",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"outlaw_p","Deadeye Canyon","",0.7,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"Paname_Dusk_P","Parc de Paris","",0.5,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"park_bman_p","Beckwith Park ()","Park_P",0.5,"9Qhd9mA5HjcKEDev8zXKHrXtMLdofdDcV9tZcvHyG58="
"Park_Night_P","Beckwith Park (Midnight)","Park_P",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"Park_P","Beckwith Park","",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"Park_Rainy_P","Beckwith Park (Stormy)","Park_P",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"Park_Snowy_P","Beckwith Park (Snowy)","Park_P",1,"hiyGeBp7lradg0wD+GmL0RJwF8iJpH7v3wa15LxoFsM="
"ShatterShot_P","Core 707","",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"STADIUM_10A_P","DFH Stadium (10th Anniversary)","Stadium_P",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"stadium_day_p","DFH Stadium (Day)","Stadium_P",1.3,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"Stadium_Foggy_P","DFH Stadium (Stormy)","Stadium_P",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"Stadium_P","DFH Stadium","",1.3,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"Stadium_Race_Day_p","DFH Stadium (Circuit)","Stadium_P",1,"6Fwu7qbx9G/ljzyafocjdTQUqiSjS67eC0TezKMAhmE="
"Stadium_Winter_P","DFH Stadium (Snowy)","Stadium_P",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"street_p","Sovereign Heights","",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"swoosh_p","Champions Field (Nike FC)","cs_p",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"throwbackhockey_p","Throwback Stadium (Snowy)","",1,"scND/HxSTunOdxY8aAI0qQezZ9AIZGjT4f7C6VIkiug="
"throwbackstadium_P","Throwback Stadium","",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"TrainStation_Dawn_P","Urban Central (Dawn)","TrainStation_P",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"TrainStation_Night_P","Urban Central (Night)","TrainStation_P",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"TrainStation_P","Urban Central","",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"UF_Day_P","Futura Garden","",1.3,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"Underwater_GRS_P","AquaDome (Salty Shallows)","Underwater_P",0.5,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"Underwater_P","AquaDome","",0.5,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"UtopiaStadium_Dusk_P","Utopia Coliseum (Dusk)","UtopiaStadium_P",1,""
"UtopiaStadium_Lux_P","Utopia Coliseum (Gilded)","UtopiaStadium_P",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"UtopiaStadium_P","Utopia Coliseum","",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"UtopiaStadium_Snow_P","Utopia Coliseum (Snowy)","UtopiaStadium_P",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"Wasteland_GRS_P","Wasteland (Pitched)","wasteland_s_p",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"Wasteland_Night_P","Badlands (Night)","Wasteland_P",0.5,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"wasteland_Night_S_P","Wasteland (Night)","wasteland_s_p",0.7,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"Wasteland_P","Badlands","",0.5,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"wasteland_s_p","Wasteland","",0.5,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"Woods_Night_P","Drift Woods (Night)","woods_p",1,"ujLmxYrq+F6zrg39JZunl2NC/WnnSMx1GJxo1foQ7M0="
"woods_p","Drift Woods","",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
